subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0185,1,0,v,v,1.4285714285714286,0.2727272727272727
MTK0185,1,0,v,a,0.8,0.13636363636363638
MTK0185,1,0,a,v,0.625,0.5844155844155845
MTK0185,1,0,a,a,0.5714285714285714,1.0
MTK0186,1,0,v,v,0.0,
MTK0186,1,0,v,a,0.0,
MTK0186,1,0,a,v,0.0,
MTK0186,1,0,a,a,0.14285714285714285,0.0
MTK0188,1,0,v,v,0.0,
MTK0188,1,0,v,a,0.14285714285714285,0.0
MTK0188,1,0,a,v,0.0,
MTK0188,1,0,a,a,0.0,
MTK0189,1,0,v,v,0.0,
MTK0189,1,0,v,a,0.0,
MTK0189,1,0,a,v,0.0,
MTK0189,1,0,a,a,0.0,
MTK0190,1,0,v,v,0.2857142857142857,0.25
MTK0190,1,0,v,a,0.125,0.0
MTK0190,1,0,a,v,0.0,
MTK0190,1,0,a,a,0.2857142857142857,0.0
MTK0192,1,0,v,v,0.14285714285714285,0.0
MTK0192,1,0,v,a,0.0,
MTK0192,1,0,a,v,0.0,
MTK0192,1,0,a,a,0.0,
MTK0193,1,0,v,v,0.2857142857142857,0.0
MTK0193,1,0,v,a,0.0,
MTK0193,1,0,a,v,0.14285714285714285,0.0
MTK0193,1,0,a,a,0.0,
MTK0194,1,0,v,v,0.0,
MTK0194,1,0,v,a,0.0,
MTK0194,1,0,a,v,0.2,1.0
MTK0194,1,0,a,a,0.0,
MTK0195,1,0,v,v,0.0,
MTK0195,1,0,v,a,0.2857142857142857,0.0
MTK0195,1,0,a,v,0.125,1.0
MTK0195,1,0,a,a,0.0,
MTK0196,1,0,v,v,0.0,
MTK0196,1,0,v,a,0.0,
MTK0196,1,0,a,v,0.0,
MTK0196,1,0,a,a,0.14285714285714285,0.0
MTK0198,1,0,v,v,0.0,
MTK0198,1,0,v,a,0.375,0.6666666666666666
MTK0198,1,0,a,v,0.25,1.0
